School name,Programms,Intake,,,,@
emlyon Business School,Mastère Spécialisés® (MS) Entrepreneuriat & Management de l’Innovation,Fall,,,,
emlyon Business School,Mastère Spécialisés® (MS) Stratégie & Développement d’Affaires Internationales,Fall,,,,
emlyon Business School,Mastère Spécialisés® (MS) Juriste Manager International ,Fall,,,,
emlyon Business School,"Mastère Spécialisés® (MS) Transformation Digitale, Marketing & Stratégie",Fall,,,,
Montpellier Business School,Master in Management (Master Grande École) ,Fall,,,,
KEDGE Business School,Master in Management (Master Grande École) ,Fall,,,,
KEDGE Business School,Mastère Spécialisé® Gestion Patrimoniale et Immobilière,Fall,,,,
KEDGE Business School,Mastère Spécialisé® Innovation et Santé,Fall,,,,
Rennes School of Business,MSc in Digital Marketing Management,Fall,,,,
Rennes School of Business,MSc in Immersive Design Management,Fall,,,,
Rennes School of Business,MSc in International Finance,Fall,,,,
Rennes School of Business,"MSc in Logistics, Supply Chain & Purchasing",Fall,,,,
Rennes School of Business,MSc in International Negotiation and Business Development,Fall,,,,
ICN Business School,Master in Management (Master Grande École),Fall,,,,
ICN Business School,MSc Audit and Compliance,Fall,Year 2 only,,,
ICN Business School,MSc Banque et gestion de patrimoine,Fall,,,,
ICN Business School,MSc Corporate Finance,Fall,,,,
ICN Business School,"MSc Finance, Risk & Markets",Fall,,,,
ICN Business School,MSc Marketing and product innovation,Fall,,,,
ICN Business School,MSc Luxury and design management,Fall,,,,
ICN Business School,MSc Supply chain management and purchasing,Fall,,,,
ICN Business School,MSc International Business Development,Fall,,,,
ICN Business School,MSc Banque et gestion de patrimoine,Fall,,,,
ICN Business School,MSc Marketing digital,Fall,,,,
ICN Business School,MSc Management des Ressources Humaines et innovations sociales,Fall,,,,
Toulouse Business School,Master in Management (Master Grande Ecole) ,Fall,Year 1,French,,
Toulouse Business School,Mastère spécialisé® (MS) Expert en Banque et Ingénierie Financière,Fall,,,,
Toulouse Business School,Mastère spécialisé® (MS) Expert en Audit Interne et Contrôle de Gestion,Fall,,,,
Toulouse Business School,Mastère spécialisé® (MS) Manager de l'Innovation Technologique,Fall,,,,
Toulouse Business School,Mastère spécialisé® (MS) Manager des Ressources Humaines,Fall,,,,
Toulouse Business School,Mastère spécialisé® (MS) Manager Achats et Supply Chain,Fall,,,,
Toulouse Business School,Mastère spécialisé® (MS) Manager de Structures Sanitaires et Sociales,Fall,,,,
Toulouse Business School,Mastère spécialisé® (MS) Manager Marketing et Communication,Fall,,,,
Toulouse Business School,Mastère spécialisé® (MS) Manager Marketing et Commercial dans les Industries de Santé,Fall,,,,
Toulouse Business School,Mastère spécialisé® (MS) Juriste Manager des Affaires,Fall,,,,
Toulouse Business School,Mastère spécialisé® (MS) Manager des Risques et de la Transition Écologique,Fall,,,,
Brest Business School,Master in Management (Master Grande École),Fall,Year 1,French,,
Brest Business School,Mastère Spécialisé® (MS) Manager de la Supply Chain,Fall & Spring,,,,
Brest Business School,Mastère Spécialisé® (MS) Contrôle de Gestion et Pilotage de la Performance,Fall & Spring,,,,
Brest Business School,Mastère Spécialisé® (MS) Contrôle de Gestion et Pilotage de la Performance,Fall & Spring,,,,
Brest Business School, Mastère Spécialisé® (MS) Gestion Patrimoniale et Financière,Fall & Spring,,,,
European Business School Paris - GA Education Group,Programme Grande École,Fall ,Year 4,French,,
European Business School Paris - GA Education Group,Master in Management (Master Grande École),Fall ,Year 1,French,,
Paris School of Business,Programme Grande École,Fall ,Year 4,French,,
Paris School of Business,Master in Management (Master Grande École),Fall ,Year 1,French,,
Paris School of Business,MSc Data Management,Fall ,,,,
EXCELIA Group,Programme Grande École,Fall ,Year 4,French,,
EXCELIA Group,Master in Management (Master Grande École),Fall ,Year 1,French,,
EXCELIA Group,MSc Ingénieur d'Affaires,Fall ,,French,,
EXCELIA Group,MSc Digital Marketing,Fall ,,French,,
EXCELIA Group,MSc International Event Marketing and Management,Fall ,,French,,
EXCELIA Group,MSc Marketing et Management des Ventes,Fall ,,French,,
EXCELIA Group,MSc Stratégie et Développement des Ressources Humaines,Fall ,,French,,
EXCELIA Group,MSc Stratégies du Développement durable et de la RSE,Fall ,,French,,
EXCELIA Group,MSc Audit-Conseil et Contrôle,Fall ,,French,,
EXCELIA Group,MSc Banque et Chargé d'Affaires,Fall ,,French,,
EXCELIA Group,MSc Contrôle de Gestion et Business Intelligence,Fall ,,French,,
EXCELIA Group,MSc Management Intégré des Achats et de la Supply Chain,Fall ,,French,,
EXCELIA Group,MSc Management du Tourisme et de l'Événementiel ,Fall ,,French,,
EXCELIA Group,MSc Gestion des Services Immobiliers,Fall ,,French,,
EM Strasbourg Business School,Programme Grande École,Fall,Year 4,French,"Parcours immersif: 
très peu de places disponibles → à proposer à des profils solides et motivés.
Programme en alternance accessible même pour les primo-arrivants, sous conditions :
Concours d’entrée obligatoire : test d'anglais + test de logique type TAGE MAGE ou similaire.
Si l’étudiant ne trouve pas d’alternance:
Il reste en rythme alterné, mais devra payer les frais restants.
Délai jusqu’à mi-décembre pour signer un contrat d’alternance",
EM Strasbourg Business School,Master in Management (Master Grande École) ,Fall,Year 1,French,"Parcours immersif: 
très peu de places disponibles → à proposer à des profils solides et motivés.
Programme en alternance accessible même pour les primo-arrivants, sous conditions :
Concours d’entrée obligatoire : test d'anglais + test de logique type TAGE MAGE ou similaire.
Si l’étudiant ne trouve pas d’alternance:
Il reste en rythme alterné, mais devra payer les frais restants.
Délai jusqu’à mi-décembre pour signer un contrat d’alternance",